Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
382,256,0.72656,0.18271,0.18750,0.18750,0.91864,0.91864
383,256,0.39453,0.09873,0.10547,0.10547,0.95666,0.95666
384,256,1.56250,0.38835,0.40234,0.40234,0.81934,0.81934
385,256,0.61719,0.15490,0.19141,0.19141,0.93143,0.93143
386,256,0.41406,0.10433,0.11719,0.11719,0.95370,0.95370
387,256,1.63672,0.41444,0.43359,0.43359,0.80501,0.80501
388,256,0.33594,0.08506,0.09766,0.09766,0.96201,0.96201
389,256,0.50000,0.12524,0.14844,0.14844,0.94965,0.94965
390,256,0.85547,0.21513,0.22656,0.22656,0.90370,0.90370
391,256,0.48047,0.12023,0.12500,0.12500,0.93894,0.93894
392,256,1.47266,0.36602,0.38281,0.38281,0.83492,0.83492
393,256,0.35938,0.09020,0.10156,0.10156,0.95945,0.95945
394,256,0.42578,0.10728,0.12500,0.12500,0.93897,0.93897
395,256,1.53516,0.38872,0.39062,0.39062,0.81462,0.81462
396,256,0.57031,0.14441,0.15234,0.15234,0.93964,0.93964
397,256,0.58984,0.14775,0.17578,0.17578,0.93409,0.93409
